,anger,anticipation,disgust,fear,joy,sadness,surprise,trust
0,f,got,roll,taylor,girll,randomly,asked,randomly
1,'s,one,tide,kept,n't,got,mama,got
2,spell,sitting,bandwagon,throwing,shot,really,wanted,really
3,fired,im,fan,ball,taylor,hot,beer,hot
4,youp,garage,hop,gutter,kept,wish,responded,love
5,noo,set,alabama,get,throwing,social,offered,baby
6,haha,drag,'s,whatt,ball,life,drug,heart
7,roll,racing,dick,got,gutter,want,oo,3
8,tide,watching,one,one,get,wine,hour,best
9,bandwagon,ksl,wor,sitting,strike,celebrate,wait,wont
10,fan,getting,overrated,im,whatt,'m,grand,ever
11,hop,next,dear,garage,im,trying,lux,leave
12,alabama,friday,mtv,set,goin,change,café,side
13,dick,go,rihanna,drag,granny,baby,w,092312
14,one,spanish,top,racing,house,ringtone,8,forever
15,wor,fork,100,oh,aint,ca,others,taylor
16,overrated,ha,sexiest,goodness,back,n't,homeless,kept
17,weeken,room,video,hahaha,4,seem,guy,throwing
18,tcu,deep,time,perfect,3,find,scared,ball
19,football,life,ha,yes,0,song,fuck,gutter
20,next,hello,pierce,see,morning,suit,much,get
21,marriage,baby,lip,happening,friday,sitting,longer,strike
22,amon,come,white,long,'m,thinking,work,whatt
23,g,ovum,chick,love,tryna,'ve,pretty,nice
24,carter,loneliness,hair,like,watching,done,watching,relaxing
25,stadium,taking,weeken,boyce,ksl,wrong,movie,bubble
26,wish,aww,tcu,avenue,getting,right,'re,bath
27,could,n't,football,took,go,sigh,going,country
28,go,know,next,awhile,fork,hope,go,music
29,drive,sorry,marriage,realize,thought,thing,tomorrow,candlelight
30,wingstop,chica,amon,n't,wa,awkward,today,thanks
31,stay,omg,g,need,problem,chinese,zamm,soup
32,babysit,jamie,carter,guy,hand,people,im,'s
33,must,cried,stadium,anyone,like,karaoke,confused,friggin
34,rea,car,oops,push,give,embarrassed,91212,delicious
35,gail,killed,tehe,everyday,ability,score,glued,❤
36,collins,adam,#,na,walk,starting,oh,'m
37,hillary,sandler,atlanta,life,heel,set,shit,tay
38,move,wa,ga,manager,amber,home,forgot,uyy
39,moment,really,want,told,said,way,new,la
40,'re,dead,go,give,'s,'s,year,12
41,super,gon,concert,reno,yoyour,look,face,comienza
42,hyped,na,$,chance,#,gold,got,celebración
43,get,smoke,ap,hello,text,much,ta,estare
44,work,night,coming,baby,pv,joke,get,despierta
45,cause,thinking,wish,come,carson,wo,6,para
46,saturday,future,could,ovum,woyould,let,night,mandarle
47,home,ahh,drive,right,aww,get,tweethearts,mi
48,realize,fucc,wingstop,taking,last,xray,random,recuerdito
49,plan,beer,noo,aww,retweet,monday,complimented,make
50,tonight,damn,stay,know,madee,relationship,muscle,jealous
51,crap,imma,babysit,sorry,mee,like,tone,fallen
52,thought,get,interesting,chica,smilee,think,ok,shoe
53,sent,mad,conversation,yoga,lovee,'ll,yur,olive
54,tweet,dressed,going,pant,alexiss,go,telling,colored
55,x,looking,feel,fit,morree,cuddle,nose,shirt
56,wa,nice,like,better,checking,dog,itch,haha
57,gunna,wish,’,'ll,drb,novia,sratch,watch
58,say,saturday,fly,ready,colony,wa,tissue,married
59,n't,date,wall,medium,ha,compass,stop,within
60,anymore,anyone,girl,soon,parking,tear,thing,next
61,long,see,bathroom,enough,w,california,yu,2
62,car,mi,something,'s,haha,college,say,year
63,'m,nena,common,early,married,pic,'s,laughing
64,goo,wan,reaction,girl,within,—,saying,loud
65,'ve,need,david,drinking,2,alone,girl,see
66,always,forgot,ash,already,year,foreals,idk,p
67,wanted,party,playing,alison,loud,parent,yet,long
68,headed,theater,qb,☺,see,went,cause,wifey
69,staple,big,darrell,omg,p,hunting,leg,cabin
70,center,booty,k,jamie,usually,brother,hurting,puck
71,fword,hoe,royal,cried,person,left,since,hit
72,traffic,christmas,texas,car,xd,waco,last,ice
73,though,ask,memorial,thought,wifey,wondering,sunday,715
74,bucket,nah,must,killed,❤,ha,n't,cow
75,list,erryday,rea,awkward,cabin,time,want,palace
76,item,use,gail,moment,'d,xbox,worse,roll
77,acquire,ikr,collins,call,hehe,updating,ill,want
78,try,hillside,hillary,front,even,updated,probably,someone
79,absinthe,lost,move,whole,sick,2,end,brings
80,explore,21,moment,movie,crap,week,,face
81,haunted,game,'re,theatre,☺,ago,party,butterfly
82,mansion,another,super,honored,run,going,let,belly
83,based,12,hyped,embarrassed,2012,slow,omgee,✨
84,macbeth,ill,work,yellin,,547,till,fire
85,cleaning,cuz,cause,fuckem,7,pm,next,let
86,rack,throbbingmy,saturday,wit,hit,finish,week,go
87,almost,tummie,home,dildo,ice,washing,ran,thing
88,close,hurt,realize,much,715,might,red,stuck
89,people,never,plan,done,cow,show,light,watching
90,come,meant,tonight,wednesday,shoyould,~,stopped,movie
91,mess,cause,thought,adam,b,bday,green,cuddling
92,let,pain,sent,sandler,wyou,would,hate,boyfriend
93,find,back,tweet,wa,9,year,ibe,life
94,back,yay,x,really,'ll,devonte,talkin,like
95,twitter,new,wa,dead,'ve,*,someone,paddle
96,ii,sign,gunna,gon,tweet,kanye,start,every
97,*,came,say,smoke,thanks,shrug,tweeting,stroke
98,cant,kiosk,n't,night,*,oh,wondering,move
99,deal,hang,anymore,'ve,slap,well,like,forward
100,refuse,#,car,sleeping,knee,stop,bout,oh
101,someone,westfield,'m,day,half,judging,lbvss,today
102,influence,towne,'ve,'m,time,shoe,time,electric
103,choice,centre,always,still,hahaha,boy,food,hookah
104,coming,day,wanted,tired,halestorm,tonight,past,♥
105,weekend,could,swear,ca,3rd,happy,2days,keep
106,able,concert,would,sleep,yr,dressed,la,night
107,see,2013,sososo,would,ermahgerd,kind,fitness,publix
108,wan,sold,right,miss,,following,wow,missing
109,na,',every,world,backstage,gosh,wa,yoyoyoyou
